Tm,Pos,Age,G,GS,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_Y/A,Rush_TD,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_Y/R,Rec_TD,Fmb,FmbLost,Scrim_TD,Year,Pass_Y/A,Scrim_Yds,num_games,games_played_pct,games_started_pct,Exp,Touches,Pass_Cmp%,Rec_Catch%,ppg_bin_q4,PPG_half-ppr_pred
NWE,RB,31,13,5,78,203,114,6,3,145,413,6.531172758250158,1,67,29,882,13.842967475418133,5,0,1,0,2017,1.479987418204462,938,17,0.47204875706666344,0.2181491845610315,3,245,0.3416443455479213,0.4139318081761838,Q2,13.286078809362365
CLE,RB,27,16,15,125,87,839,6,0,22,422,3.4595185641137487,5,90,47,435,9.917802400345739,6,4,0,2,2009,5.819112297472074,878,17,0.2581814532221505,0.6629277005606187,2,72,0.04324983945485396,0.6052443608175849,Q2,13.820673864557175
PIT,RB,31,9,13,148,245,236,8,7,108,91,7.385557502090801,4,85,32,54,4.0875903099702455,6,3,2,2,2020,0.763734272245357,23,17,0.10568584384580416,0.7668615203028132,2,138,0.5765977329532576,0.7602752846863484,Q2,12.283837090214801
JAX,WR,30,3,2,118,163,279,7,2,130,469,5.04365807031246,1,101,53,527,12.448253268598764,4,5,1,1,2006,4.4347344914312,321,17,0.49621592451506036,0.1666361430284744,5,53,0.5850342652985161,0.5643533069491241,Q4,16.361544740710627
NOR,WR,23,1,16,158,35,1158,0,1,37,456,0.898216206224183,2,91,2,105,1.4103189523787558,6,4,3,0,2013,5.38568989587694,551,17,0.8263518892358047,0.04385828341791598,2,199,0.35218508927874914,0.5087608822191797,Q2,10.458846644718108
WAS,TE,33,4,14,129,40,720,0,2,44,462,6.859470658757705,3,28,10,216,12.928084393873776,3,4,0,1,2005,5.421055464216934,700,16,0.7465768689946691,0.43958737530133873,0,263,0.3576445891516126,0.7269007026541818,Q4,11.701878025987233
DEN,RB,30,3,5,142,191,1688,6,7,153,50,3.7918052289386828,4,63,44,291,9.849177543444732,0,3,0,5,2012,1.3717966340928103,1081,17,0.4455632196505471,0.7740240859924371,1,128,0.03698571705233463,0.7052645499070364,Q1,17.391671606296175
HOU,WR,31,11,13,19,48,585,5,1,42,302,1.0977020017900136,2,34,17,646,1.8488591031690194,0,1,1,5,2004,0.44478164372686013,442,16,0.6200337549227503,0.6507798355741427,9,59,0.38424516433134537,0.830346840613561,Q2,8.449385507196679
NYJ,WR,23,3,2,120,140,1330,3,6,68,277,1.1833485372710106,1,37,47,162,1.3272610517450534,1,3,1,7,2005,3.239336075957012,1029,16,0.47148111338707904,0.7018817204145913,1,82,0.275774493719991,0.06255178627729441,Q4,17.000109806343627
HOU,TE,27,9,16,72,273,844,4,5,69,59,5.3283879971015065,1,105,25,147,12.534416245155976,1,1,1,6,2014,1.4614722682647188,192,17,0.6053276029282917,0.4028393399933684,1,295,0.455634003549989,0.7549521320819789,Q2,8.029306389879274
IND,WR,26,11,11,91,1,1209,8,6,40,150,0.36713692715354584,5,77,63,40,4.890254269483755,2,3,2,5,2007,5.0471054789009795,437,17,0.5476611666189524,0.23494554525306988,5,96,0.030282641998067995,0.51376045095169,Q2,10.747127524616578
MIN,TE,32,10,10,108,5,1098,8,7,123,298,2.2211016780820527,2,110,58,772,14.845951199625999,4,1,1,1,2005,2.5744906840370074,61,16,0.7009061876173366,0.5317788432846094,2,279,0.45681899835884066,0.07469312003315187,Q1,11.398839066386117
TAM,RB,29,4,1,159,273,866,6,6,123,502,1.083353826141478,4,47,35,613,12.72200082683406,5,3,2,5,2021,3.2432881632112625,873,17,0.5384770408123036,0.2043656937491969,10,119,0.18435900975975456,0.6790100281695197,Q3,17.14080480975414
DAL,RB,31,13,14,162,161,1740,4,7,60,160,3.418350079533953,2,61,55,35,11.655545630757267,4,0,3,0,2002,0.8190967222527721,177,16,0.9443228107820861,0.7262286969850658,9,68,0.4187882045439695,0.7165401940019428,Q1,8.009550552326742
CLE,WR,27,12,0,47,35,628,3,1,133,561,3.2112417329563,5,55,19,25,4.651032557447519,1,1,2,3,2013,4.096390302390134,302,16,0.46377642023283083,0.19696645595947704,4,262,0.4029934219522958,0.5236271695446845,Q4,12.42059566555086
NOR,WR,24,12,4,121,247,325,5,6,34,369,4.044542368838633,0,12,35,494,11.835076834212405,4,1,2,3,2013,1.3390522554205462,912,16,0.07742153409972899,0.29126326671434144,4,169,0.14576915919833267,0.7937989776497628,Q2,15.520478672011434
JAX,RB,28,3,2,123,242,1242,3,4,1,514,2.1671815505446093,1,27,14,250,15.828319981794609,2,3,1,3,2007,4.90069398740006,629,16,0.28410018944592297,0.5065447783230054,4,11,0.2830362714879975,0.3002481086293015,Q3,19.790665921119572
CIN,TE,23,3,12,57,147,1549,6,4,91,320,0.24833781768087326,5,60,61,528,1.5284943259014065,0,4,0,2,2011,0.5136730285008169,16,17,0.53181892947499,0.48670993414349495,0,346,0.5369809572876397,0.20190721853143612,Q2,13.445362052069154
IND,WR,31,15,3,20,171,74,7,6,158,338,4.76149232564769,5,8,58,384,5.444939378174683,2,0,1,5,2003,7.043684478232995,3,16,0.5692861111456206,0.6008493764070294,3,53,0.38915538243573583,0.3507339517432785,Q1,11.359322731618567
STL,RB,29,7,15,7,75,823,1,7,6,419,2.896314522338223,2,105,64,816,3.91760457705431,2,4,3,7,2017,4.940689386058899,601,17,0.5803607399800501,0.43744460049991696,1,127,0.04417148168624871,0.4100505132959775,Q4,12.12809091918383
LAR,RB,30,6,11,128,14,1635,0,5,33,628,5.047846240235359,2,14,62,254,6.564893910343251,2,4,2,6,2006,1.3116639298518147,359,16,0.732392592128202,0.9194733085100913,1,139,0.2846148183513504,0.6959336024021688,Q3,12.72703131523005
PHI,WR,26,8,1,80,164,1373,2,3,83,333,0.8421690237330806,2,22,68,600,12.392456350273912,5,2,1,5,2005,0.10173049041473899,212,17,0.31998263370393243,0.8399340941971882,6,176,0.2003454680336586,0.8455199378782277,Q4,18.377437464038366
JAX,RB,33,11,0,162,81,1816,9,3,129,358,0.10677450352889006,2,86,16,48,7.916976912340772,5,3,1,4,2008,2.4140425625923423,722,17,0.6858471991013848,0.8791134512366384,1,283,0.4123238360471469,0.7209181900786765,Q4,14.489731353229164
PHI,WR,32,15,1,76,182,973,6,3,14,407,1.924280421111019,1,11,66,845,9.527742148837689,4,2,3,0,2021,1.1029556107657643,269,17,0.722530256049262,0.6295165714034375,1,2,0.3949210134180825,0.1739875590696015,Q1,10.518411576805084
CIN,RB,31,5,10,161,230,1209,2,3,63,499,3.5382417532039048,4,102,41,867,5.244482661889661,1,1,2,6,2019,1.5764207826666983,696,16,0.44807570558202464,0.6350079158608064,5,336,0.0066818576718869075,0.3662170848002574,Q2,16.144657855606123
HOU,WR,24,15,13,68,5,554,9,3,119,49,3.0540577998056215,1,82,30,653,2.3586744617661726,5,3,2,4,2022,6.299222782208715,446,17,0.4395335304496769,0.6091986837159487,4,233,0.39050733423010214,0.158413713447778,Q2,9.98197326362229
JAX,RB,27,1,4,130,164,1735,5,1,59,349,6.279844803369365,4,8,40,411,4.456174157569535,4,0,3,2,2015,4.3537317808737,220,17,0.23024198655292166,0.4348841544214562,1,342,0.47221704783071755,0.6867241995580513,Q2,20.78615082414095
CLE,WR,22,9,14,14,64,671,5,1,30,326,2.928241742494386,0,78,24,194,14.351450847097293,1,4,2,3,2016,1.2736129921568269,162,16,0.45061316523941286,0.3221060010672626,0,294,0.4939887016493375,0.24817187821689413,Q3,8.04359167743473
OAK,RB,24,11,1,91,240,1353,9,5,31,623,4.110919141923861,0,71,20,718,10.056712256070117,4,5,2,7,2012,4.017783489422563,279,16,0.8001402734753241,0.5920028874488703,2,334,0.03789804354682403,0.5253869328518468,Q3,13.654807554168409
SFO,RB,30,3,13,132,70,738,1,3,65,334,4.59974584142699,3,86,17,651,6.310120001950184,3,4,1,5,2021,1.8461401801092836,35,16,0.9146621927030162,0.02553183713845031,2,216,0.19513199808829235,0.7918298431946843,Q2,9.872805537342705
ARI,QB,30,3,15,152,168,1029,2,7,76,317,0.16919328525503993,2,94,6,196,13.186642586004098,3,3,0,4,2012,7.045895048811309,362,16,0.6190123668605926,0.007456431423803034,8,129,0.2707119150346003,0.6709392749216151,Q3,10.909737156506303
NWE,RB,33,7,12,135,152,1318,6,4,137,651,3.9922836705579647,3,81,35,399,1.076048470891189,1,3,3,5,2009,0.23643085655277502,1061,16,0.34315969689465514,0.8516418262967486,9,159,0.11552195020852495,0.2983739906651327,Q3,16.101978802192967
CLE,TE,26,15,11,6,109,932,2,0,102,305,2.6724422603409934,0,66,63,409,4.238442434437645,3,5,2,3,2015,5.285632223137215,978,16,0.7021466112434982,0.046424044777622187,4,237,0.270365108681133,0.33286675061634086,Q2,8.846480188336603
TAM,WR,26,10,13,61,186,1661,7,1,110,122,3.264920989545223,5,36,45,731,3.841328108187522,1,1,1,4,2013,5.579236936211294,437,16,0.7563870706525037,0.5247951503334181,4,154,0.04570809721279257,0.6533642866030318,Q1,11.703488633672476
LVR,WR,27,15,1,8,200,768,2,1,156,147,0.7772273383381895,4,79,37,605,16.449616281771927,1,0,2,2,2004,0.4847586222382775,677,17,0.37394948010687096,0.6149877629496451,7,263,0.07275383591063196,0.5494677493399441,Q4,12.8629745983651
HOU,WR,24,13,3,18,156,1185,1,7,65,64,6.066859383777,4,108,30,569,11.787566940611262,1,3,0,4,2010,1.2404962407775733,667,16,0.8373886201464501,0.1981712296224356,6,33,0.4297056753002895,0.09639348747004439,Q3,9.021026771109304
OAK,RB,23,8,2,111,209,627,2,2,64,0,7.30363294376605,1,66,33,574,10.313280980498622,6,2,2,5,2008,2.7737983907505765,975,16,0.1315898426296938,0.8957308382651483,2,299,0.16873001406248977,0.8739915892735461,Q4,20.609904338637048
